Family_ID,Father ID,Mother_ID,Child_ID_1,Child_ID_2,Child_ID_3,Child_ID_4,Child_ID_5,Child_ID_6,Child_ID_7,Child_ID_8,Child_ID_9,Child_ID_10
F286,I122617286444,I122617286450,I122617286312,,,,,,,,,
F287,I122597001447,I122597001451,I122596714117,I122597001523,I122595394846,,,,,,,
F288,I122614468563,I122614468674,,,,,,,,,,
F289,I122610536346,I122610536347,I122610536177,,,,,,,,,
F290,I122593937551,I122593937560,I122594101042,I122593937546,I122596025234,I122596552497,,,,,,
F291,I122604734561,I122604734504,,,,,,,,,,
F292,I122603210768,I122603210782,I122603210730,I122603215767,I122603214380,I122603374213,I122603475307,I122603476243,,,,
F293,I122615123908,I122615123900,I122595569817,I122615123810,I122617600522,,,,,,,
F294,I122615091122,I122615091144,I122615090804,I122615091616,,,,,,,,
F295,I122593937611,I122593937650,I122593577932,I122606024859,I122593940301,I122594103181,,,,,,
F296,I122596133013,I122596133021,I122596132994,,,,,,,,,
F297,I122595690632,I122595690647,I122595690626,,,,,,,,,
F298,I122600378731,I122595690647,,,,,,,,,,
F299,I122606225375,I122606225454,I122606225525,I122606480039,,,,,,,,
F300,I122606209005,I122606209061,,,,,,,,,,
F301,I122595690673,I122595690678,I122595690632,,,,,,,,,
F302,I122603685964,I122603685877,I122603686003,,,,,,,,,
F303,I122600507389,I122600507494,,,,,,,,,,
F304,I122619727703,I122619727698,I122619727552,,,,,,,,,
F305,I122600376426,I122595691974,I122595692026,,,,,,,,,
F306,I122614845322,I122614845453,,,,,,,,,,
F307,I122596839208,I122596839243,,,,,,,,,,
F308,I122594725673,I122594725692,I122594725658,,,,,,,,,
F309,I122595004195,I122595004207,I122595004322,I122595004153,,,,,,,,
F310,I122606211134,I122606211070,I122606211188,,,,,,,,,
F311,I122602835868,I122602835881,I122602836069,I122602835851,,,,,,,,
F312,I122597543798,I122597543864,,,,,,,,,,
F313,I122604572633,I122604572706,,,,,,,,,,
F314,I122606030832,I122606030836,I122594662846,I122606030797,,,,,,,,
F315,I122603573230,I122603573167,I122603573421,,,,,,,,,
F316,I122605096900,I122605096855,I122605097026,,,,,,,,,
F317,I122618185986,I122618185868,I122618186273,,,,,,,,,
F318,I122600509340,I122600509348,I122600509269,,,,,,,,,
F319,I122600509340,I122600509984,,,,,,,,,,
F320,I122596708184,I122596708250,I122596708324,,,,,,,,,
F321,I122596495275,I122596495196,I122596495383,,,,,,,,,
F322,I122618988649,I122618988711,I122619013447,I122618990525,,,,,,,,
F323,I122613680210,I122613680141,I122613680413,I122615128940,,,,,,,,
F324,I122597052284,I122597052241,,,,,,,,,,
F325,I122596839251,I122596839254,I122596839243,,,,,,,,,
F326,I122618480787,I122618480801,I122618480732,,,,,,,,,
F327,I122596839275,I122596839294,I122596839251,I122596839330,,,,,,,,
F328,I122596839275,I122600808512,I122600808525,,,,,,,,,
F329,I122596872040,I122596872101,,,,,,,,,,
F330,I122608945199,I122608945064,I122608945739,,,,,,,,,
F331,I122597003104,I122597003062,I122597003119,,,,,,,,,
F332,I122602835740,I122602835851,I122602836377,,,,,,,,,
F333,I122595692222,I122595692414,,,,,,,,,,
F334,I122597003119,I122597003518,,,,,,,,,,
F335,I122616579873,I122616580278,,,,,,,,,,
F336,I122617219265,I122617219260,I122617219816,I122617219026,,,,,,,,
F337,I122602655531,I122602655619,,,,,,,,,,
F338,I122593578761,I122593578857,I122593578684,I122593578987,,,,,,,,
F339,I122594725548,I122594725658,,,,,,,,,,
F340,I122596609671,I122596609918,,,,,,,,,,
F341,I122606030792,I122606030797,I122606030763,,,,,,,,,
F342,I122602655642,I122602655647,I122602655619,,,,,,,,,
F343,I122602655642,I122597053932,,,,,,,,,,
F344,I122603687872,I122603687833,,,,,,,,,,
F345,I122603491230,I122603480724,,,,,,,,,,
F346,I122603491230,I122603501870,,,,,,,,,,
F347,I122617743540,I122617743566,,,,,,,,,,
F348,I122604572503,I122604572563,I122604572633,,,,,,,,,
F349,I122616301805,I122616301791,I122616302067,I122616301519,,,,,,,,
F350,I122594742126,I122594742188,I122594741899,,,,,,,,,
F351,I122596839156,I122596839181,I122596839208,I122596839896,,,,,,,,
F352,I122594103161,I122594103181,I122597381182,I122595757555,I122594102862,,,,,,,
F353,I122606030763,I122606030775,I122606030749,,,,,,,,,
F354,I122596871963,I122596871912,I122596872040,,,,,,,,,
F355,I122613696537,I122613696533,I122613693095,,,,,,,,,
F356,I122594725753,I122594725761,I122594725673,,,,,,,,,
F357,I122597543720,I122597543657,I122597543798,,,,,,,,,
F358,I122618202338,I122618202327,I122618202071,,,,,,,,,
F359,I122605080465,I122605080404,,,,,,,,,,
F360,I122595757828,I122595757831,I122595757810,,,,,,,,,
F361,I122605080491,I122605080500,I122605080465,,,,,,,,,
F362,I122606030749,I122606030688,,,,,,,,,,
F363,I122597166883,I122597166788,,,,,,,,,,
F364,I122603687872,I122603687937,I122603688020,,,,,,,,,
F365,I122616318201,I122616318249,,,,,,,,,,
F366,I122594266722,I122594266973,I122594267058,,,,,,,,,
F367,I122597166898,I122597166908,I122597166883,,,,,,,,,
F368,I122597052210,I122597052159,I122597052241,,,,,,,,,
F369,I122617743616,I122617743613,I122617743566,,,,,,,,,
F370,I122595692533,I122595692505,I122595692563,,,,,,,,,
F371,I122605096756,I122605096776,I122605096855,I122605096733,,,,,,,,
F372,I122613696696,I122613696709,I122613697129,I122613696537,,,,,,,,
F373,I122600181524,I122600181532,I122600181498,I122595012042,,,,,,,,
F374,I122595774431,I122595774443,I122595776146,I122595763942,,,,,,,,
F375,I122595774431,I122637334229,I122595774524,,,,,,,,,
F376,I122618038262,I122618038274,I122618037696,I122618152472,,,,,,,,
F377,I122595004394,I122595004322,,,,,,,,,,
F378,I122603212567,I122603212579,I122603212467,I122594098307,,,,,,,,
F379,I122596609986,I122596609990,I122596609945,I122596666118,I122596610515,I122596667179,I122596659783,I122596660105,,,,
F380,I122595570707,I122618152971,I122595570687,,,,,,,,,
F381,I122651363846,I122651363774,,,,,,,,,,
F382,I122603687725,I122603687759,I122603687833,I122603687633,,,,,,,,
F383,I122594742200,I122594742210,I122594742188,I122594742346,,,,,,,,
F384,I122617743379,I122617743417,I122617743540,,,,,,,,,
F385,I122618415131,I122618415142,I122618413568,I122618417043,,,,,,,,
F386,I122596839383,I122596839432,,,,,,,,,,
F387,I122594267058,I122594267117,,,,,,,,,,
F388,I122596610030,I122596610046,I122596669086,I122596609990,I122596708804,,,,,,,
F389,I122600378162,I122600378202,,,,,,,,,,
F390,I122597167023,I122597167076,I122597166788,,,,,,,,,
F391,I122600509238,I122600509166,,,,,,,,,,
F392,I122594725956,I122594725761,,,,,,,,,,
F393,I122619725823,I122619725827,I122619725234,,,,,,,,,
F394,I122596708424,I122596708324,,,,,,,,,,
F395,I122603212567,I122605699569,I122605699453,,,,,,,,,
F396,I122595758061,I122595758108,,,,,,,,,,
F397,I122616580128,I122616580039,,,,,,,,,,
F398,I122608666793,I122608666798,I122608666597,,,,,,,,,
F399,I122595757960,I122595757978,I122595757828,I122595758061,,,,,,,,
F400,I122593939437,I122593939441,I122595758206,I122594099949,I122594724134,I122593939393,I122593939868,I122594592280,I122594592060,,,
F401,I122600509269,I122600509293,I122600509650,I122600509238,,,,,,,,
F402,I122597052302,I122597052314,I122597052284,I122616310725,,,,,,,,
F403,I122595692438,I122595692458,I122595692505,I122595692414,,,,,,,,
F404,I122604572303,I122604572446,I122604572503,,,,,,,,,
F405,I122593578987,I122593579044,I122593579151,I122593579180,,,,,,,,
F406,I122593578987,I122594998825,I122594999153,I122597381633,,,,,,,,
F407,I122605096693,I122605096733,I122605096643,,,,,,,,,
F408,I122596609940,I122596609945,I122596609918,I122596703889,,,,,,,,
F409,I122594660373,I122594660342,I122594660432,I122596115146,I122619485155,I122610118407,I122594660924,,,,,
F410,I122600378217,I122600378225,I122600378202,,,,,,,,,
F411,I122618480710,I122618480732,,,,,,,,,,
F412,I122651363946,I122651363936,I122651363846,,,,,,,,,
F413,I122596839330,I122596839357,I122596839383,I122596839527,,,,,,,,
F414,I122606030544,I122606030609,I122606030688,I122606031728,,,,,,,,
F415,I122593939393,I122593939399,I122593577745,I122594175644,,,,,,,,
F416,I122616596587,I122616596402,,,,,,,,,,
F417,I122616596587,I122616596831,,,,,,,,,,
F418,I122596872116,I122596872125,I122596872101,,,,,,,,,
F419,I122606145287,I122606145244,I122606146075,,,,,,,,,
F420,I122595397212,I122595396965,,,,,,,,,,
F421,I122594659812,I122594659881,I122594659785,I122594605469,,,,,,,,
F422,I122595692122,I122595692073,,,,,,,,,,
F423,I122596838991,I122596838994,I122596838976,,,,,,,,,
F424,I122597543543,I122597543557,I122597543657,I122597543507,,,,,,,,
F425,I122605096571,I122605096643,,,,,,,,,,
F426,I122605097342,I122605096643,,,,,,,,,,
F427,I122593578546,I122593578424,I122593578594,I122596840096,I122594097929,I122594290481,I122596660010,I122594094349,I122594098295,I122653714875,,
F428,I122596838976,I122596838958,,,,,,,,,,
F429,I122594102817,I122594102666,,,,,,,,,,
F430,I122597002787,I122597002839,,,,,,,,,,
F431,I122594299455,I122594299464,I122594299314,I122594269586,,,,,,,,
F432,I122603212467,I122603212541,I122603212397,,,,,,,,,
F433,I122617743773,I122617743766,I122597169640,I122617743680,,,,,,,,
F434,I122596609622,I122596609528,,,,,,,,,,
F435,I122603687582,I122603687608,,,,,,,,,,
F436,I122605080304,I122605080276,I122605080248,I122605080404,,,,,,,,
F437,I122618710429,I122618710439,I122594099558,I122618711219,I122618712317,,,,,,,
F438,I122617923994,I122617924065,I122617924226,,,,,,,,,
F439,I122595692130,I122595692155,I122595692122,,,,,,,,,
F440,I122615089540,I122615089492,,,,,,,,,,
F441,I122597543507,I122597543513,I122597543494,,,,,,,,,
F442,I122595003918,I122595003972,I122595004087,,,,,,,,,
F443,I122600181435,I122600181498,I122600181345,,,,,,,,,
